# file...... TriplexMeterHouse.csv
# date...... Tue Mar 13 13:58:56 2018
# user...... ubuntu
# host...... (null)
# target.... triplex_meter 21
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,measured_real_energy, measured_reactive_energy, measured_power, indiv_measured_power_1, indiv_measured_power_2, indiv_measured_power_N, measured_demand, measured_real_power, measured_reactive_power, meter_power_consumption, measured_voltage_1.real, measured_voltage_1.imag, measured_voltage_2.real, measured_voltage_2.imag, measured_voltage_N.real, measured_voltage_N.imag, measured_current_1, measured_current_2, measured_current_N, previous_monthly_energy, monthly_energy
2018-03-13 11:58:46 UTC,+0,+0,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:47 UTC,+2.66635,+0.420123,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:48 UTC,+5.3327,+0.840245,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:49 UTC,+7.99905,+1.26037,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:50 UTC,+10.6654,+1.68049,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:51 UTC,+13.3318,+2.10061,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:52 UTC,+15.9981,+2.52074,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:53 UTC,+18.6645,+2.94086,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:54 UTC,+21.3308,+3.36098,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:55 UTC,+23.9972,+3.7811,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:56 UTC,+26.6635,+4.20123,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:57 UTC,+29.3299,+4.62135,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:58 UTC,+31.9962,+5.04147,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:58:59 UTC,+34.6626,+5.46159,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:59:00 UTC,+37.3289,+5.88172,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:59:01 UTC,+39.9953,+6.30184,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:59:02 UTC,+42.6616,+6.72196,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
2018-03-13 11:59:03 UTC,+45.328,+7.14209,+9717.28+8.95417d,+4946.73+8.71861d,+4709.29+762.607j,+0+0d,+9598.86,+9598.86,+1512.44,+0+0j,-60.0155,-103.906,-60.0154,-103.906,+0,+0,-25.7921-32.1603j,+25.1328+30.8061j,+0.6593+1.35417j,+0,+0
