# file...... TripexNode645.csv
# date...... Tue Mar 13 13:44:18 2018
# user...... ubuntu
# host...... (null)
# target.... triplex_node 8
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,voltage_1,voltage_2,voltage_N,voltage_12,voltage_1N,voltage_2N,current_1,current_2,current_N,current_12,power_1,power_2,power_12,shunt_1,shunt_2,shunt_12,impedance_1,impedance_2,impedance_12
2018-03-13 11:44:08 UTC,+2401.78-6.21576e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102129-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:09 UTC,+2401.78-6.21576e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:10 UTC,+2401.78-3.26096e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:11 UTC,+2401.78-6.21576e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:12 UTC,+2401.78-3.26096e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:13 UTC,+2401.78-6.21576e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:14 UTC,+2401.78-3.26096e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:15 UTC,+2401.78-6.21576e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:16 UTC,+2401.78-3.26096e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
2018-03-13 11:44:17 UTC,+2401.78-6.21576e-14i,-1200.88-2080.01j,-1200.89+2080j,+3602.66+2080.01i,-3602.67+2080j,+0.0102176-4160.01j,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0i,+0+0j,+0+0j,+0+0j,+0+0i,+0+0i,+0+0i
